SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
332,230672,4.71E+14,23D00935,SER94072310570  ,47B0000444253
333,230672,1.51E+14,2302550,SER94072310549  ,15M2000229511
334,230672,1.51E+14,2301945,SER94072310549  ,15M2000229508
335,230672,1.51E+14,2301945,SER94072310549  ,15M2000229507
336,230672,1.51E+14,2301945,SER94072310549  ,15M2000229509
337,230672,1.51E+14,2301945,SER94072310549  ,15M2000229506
338,230672,1.51E+14,2302550,SER94072310549  ,15M2000229510
339,230672,1.51E+14,2302485,SER94072310549  ,15M2000229527
340,230672,1.51E+14,2302485,SER94072310549  ,15M2000229528
341,230672,1.51E+14,2302485,SER94072310549  ,15M2000229526
342,230672,1.51E+14,2303182,SER94072310563  ,15M1000260651
343,230672,1.51E+14,2301940,SER94072310563  ,15M1000260648
344,230672,1.51E+14,2302287,SER94072310563  ,15M1000260375
345,230672,1.51E+14,2302287,SER94072310563  ,15M1000260373
346,230672,1.51E+14,2301940,SER94072310563  ,15M1000260645
347,230672,1.51E+14,2303182,SER94072310563  ,15M1000260650
348,230672,1.51E+14,2301940,SER94072310563  ,15M1000260649
349,230672,1.51E+14,2301940,SER94072310563  ,15M1000260647
350,230672,1.51E+14,2303122,SER94072310563  ,15M1000260377
351,230672,1.51E+14,2301940,SER94072310563  ,15M1000260646
352,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959554
353,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959097
354,230672,4.51E+14,23F01047,ER94021329387   ,45B0045958453
355,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959556
356,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959532
357,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959425
358,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959269
359,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959267
360,230672,4.51E+14,23F01075,ER94021329387   ,45B0045960016
361,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959777
362,230672,4.51E+14,,ER94021329387   ,45B0045960060
363,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959789
364,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959510
365,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959095
366,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959360
367,230672,4.51E+14,,ER94021329387   ,45B0045959361
368,230672,4.51E+14,23F01075,ER94021329387   ,45B0045959060
369,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015340
370,230672,4.51E+14,23D00971,ER94022110809   ,45B0046014519
371,230672,4.51E+14,23D00971,ER94022110809   ,45B0046014734
372,230672,4.51E+14,23E00996,ER94022110809   ,45B0046015545
373,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015302
374,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015506
375,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015396
376,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015525
377,230672,4.51E+14,,ER94022110809   ,45B0046015395
378,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015397
379,230672,4.51E+14,23D00971,ER94022110809   ,45B0046015014
380,230672,4.51E+14,23E00996,ER94022110809   ,45B0046011874
381,230672,4.51E+14,23E00996,ER94022110809   ,45B0046012326
382,230672,4.51E+14,23E00996,ER94022110809   ,45B0046012466
383,230672,4.51E+14,23E00996,ER94022110809   ,45B0046012960
384,230672,4.51E+14,23E00996,ER94022110809   ,45B0046012749
385,230672,4.51E+14,23E00994,SER55070063691  ,45B0046011101
386,230672,4.51E+14,23E00994,SER55070063691  ,45B0046011300
387,230672,4.51E+14,23E00994,SER55070063691  ,45B0046011115
388,230672,4.51E+14,,SER55070063691  ,45B0046010571
389,230672,4.51E+14,23E00994,SER55070063691  ,45B0046011476
390,230672,1.51E+14,2303289,SECR94141217724 ,15M1000261156
391,230672,1.51E+14,2303289,SECR94141217724 ,15M1000261157
392,230672,1.51E+14,2303249,NR94031711264   ,15M2000230040
393,230672,1.51E+14,2302932,NR94031711264   ,15M2000230049
394,230672,1.51E+14,2303249,NR94031711264   ,15M2000230048
395,230672,1.51E+14,2303249,NR94031711264   ,15M2000230045
396,230672,1.51E+14,2303249,NR94031711264   ,15M2000230041
397,230672,1.51E+14,,NR94031711264   ,15M2000230039
398,230672,1.51E+14,2303249,NR94031711264   ,15M2000230042
399,230672,1.51E+14,2303249,NR94031711264   ,15M2000230043
400,230672,1.51E+14,2303249,NR94031711264   ,15M2000230044
401,230672,1.51E+14,2303249,NR94031711264   ,15M2000230047
402,230672,1.51E+14,2303249,NR94031711264   ,15M2000230046
403,230672,1.51E+14,2303153,ER94022110878   ,15M2000229375
404,230672,1.51E+14,2303147,ER94022110878   ,15M2000229367
405,230672,1.51E+14,,ER94022110878   ,15M2000229370
406,230672,1.51E+14,2303147,ER94022110878   ,15M2000229369
407,230672,1.51E+14,2303153,ER94022110878   ,15M2000229374
408,230672,1.51E+14,2303153,ER94022110878   ,15M2000229373
409,230672,1.51E+14,2303147,ER94022110878   ,15M2000229368
410,230672,1.51E+14,2303160,ER94022110878   ,15M2000229366
411,230672,1.51E+14,2303160,ER94022110878   ,15M2000229365
412,230672,1.51E+14,2303163,ER94022110878   ,15M2000229489
413,230672,1.51E+14,2303176,ER94022110878   ,15M2000229484
414,230672,4.71E+14,23D00905,SCR94092110532  ,47B0000443459
415,230672,4.71E+14,23E00913,SCR94092110532  ,47B0000442840
416,230672,4.71E+14,23F01024,SCR94092110532  ,47B0000442758
417,230672,4.71E+14,23E00913,SCR94092110532  ,47B0000442843
418,230672,4.71E+14,,SCR94092110532  ,47B0000442845
419,230672,4.71E+14,23E00913,SCR94092110532  ,47B0000442842
420,230672,4.71E+14,23E00914,SCR94092110532  ,47B0000442839
421,230672,4.71E+14,23E00915,SCR94092110532  ,47B0000442792
422,230672,4.71E+14,23E00915,SCR94092110532  ,47B0000442795
423,230672,4.71E+14,23E00915,SCR94092110532  ,47B0000442793
424,230672,4.71E+14,23F01057,SCR94092110532  ,47B0000443341
425,230672,1.51E+14,2303283,SER94071256336  ,15M2000230002
426,230672,1.51E+14,2303283,SER94071256336  ,15M2000230003
427,230672,1.51E+14,2303283,SER94071256336  ,15M2000230006
428,230672,1.51E+14,2303283,SER94071256336  ,15M2000230000
429,230672,1.51E+14,,SER94071256336  ,15M2000230001
430,230672,1.51E+14,2303283,SER94071256336  ,15M2000230008
431,230672,1.51E+14,2303291,SER94071256336  ,15M2000230010
432,230672,1.51E+14,2303283,SER94071256336  ,15M2000230004
433,230672,1.51E+14,2303283,SER94071256336  ,15M2000230007
434,230672,1.51E+14,2303283,SER94071256336  ,15M2000230005
435,230672,1.51E+14,2303291,SER94071256336  ,15M2000230009
436,230672,4.71E+14,23D00896,SECR55140313732 ,47B0000443412
437,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443578
438,230672,4.71E+14,,SECR55140313732 ,47B0000443581
439,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443597
440,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443600
441,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443591
442,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443586
443,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443587
444,230672,4.71E+14,23D00903,SECR55140313732 ,47B0000443595
445,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443406
446,230672,4.71E+14,23D00896,SCR55090160103  ,47B0000443408
447,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443402
448,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443396
449,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443401
450,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443404
451,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443391
452,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443392
453,230672,4.71E+14,23F01059,SCR55090160103  ,47B0000443399
454,230672,4.71E+14,23D00896,SCR55090160103  ,47B0000443410
455,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230069
456,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230071
457,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230070
458,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230064
459,230672,1.51E+14,2303292,SECR94141358175 ,15M2000230062
460,230672,1.51E+14,2303295,SECR94141358175 ,15M2000230068
